,NOAA_Species_Name,UDAQ_Species_Name,Calibration_Equation,RMSE_Initial,RMSE_Calibrated,Did_RMSE_Improve,RMSE_Percent_Improvement,Slope_ML_to_Initial_UDAQ,Distance_from_1_Slope_ML_to_Initial_UDAQ,Slope_ML_to_Calibrated_UDAQ,Distance_from_1_Slope_ML_to_Calibrated_UDAQ,Distance_from_1_Slopes_Comparison,Did_Slope_Improve,Intercept_ML_to_Initial_UDAQ,Intercept_ML_to_Calibrated_UDAQ,R_ML_to_Initial_UDAQ,R_Squared_ML_to_Initial_UDAQ,R_ML_to_Calibrated_UDAQ,R_Squared_ML_to_Calibrated_UDAQ
0,ML_NoVar_0,nDodecane,,,,,,,,,,,,,,,,,
1,Ethane_WAS,Ethane,Calibration equation: O_hat = -0.3290 + 1.0237 * M,0.5698478365221639,0.5032151807274235,False,11.693061116350957,0.9543883359245687,0.04561166407543127,0.932296789272473,0.06770321072752705,0.022091546652095784,False,-0.175624772604604,0.13106848870972448,0.9337412082877512,0.8718726440546696,0.9337412082877508,0.8718726440546687
2,Ethene_WAS,Ethylene,Calibration equation: O_hat = -0.1852 + 1.1189 * M,0.22179627711839076,0.18973142945881383,False,14.456891736943495,0.9818386219682752,0.018161378031724795,0.8774832280751292,0.12251677192487076,0.10435539389314596,False,-0.11571725223046576,0.0467614498085643,0.8885044422323015,0.7894401438665333,0.8885044422323015,0.7894401438665333
3,Propane_WAS,Propane,Calibration equation: O_hat = -0.3636 + 1.1943 * M,0.7400578033875057,0.7616469745470598,True,-2.9172276896119196,0.9890425664279011,0.010957433572098885,0.8281658563747506,0.1718341436252494,0.16087671005315052,False,-0.1498579160871499,0.15122903296919962,0.8502819728683919,0.7229794333849647,0.8502819728683916,0.7229794333849642
4,Propene_WAS,Propylene,Calibration equation: O_hat = -0.1273 + 1.3716 * M,0.10203015691691007,0.08408682309004645,False,17.586304254609814,1.135226541841204,0.13522654184120397,0.8276754304677951,0.17232456953220487,0.0370980276910009,False,-0.08591706608116906,0.01943711133833143,0.8632456418155706,0.7451930381135764,0.8632456418155705,0.7451930381135763
5,Ethyne_WAS,Acetylene,Calibration equation: O_hat = -0.0415 + 1.5085 * M,0.15101388017954093,0.16250781080205443,True,-7.611174952162228,0.9729755634380136,0.027024436561986387,0.6449805975884086,0.35501940241159136,0.32799496584960497,False,0.058850816266331325,0.08563142840180057,0.720654657782796,0.5193431357840389,0.7206546577827964,0.5193431357840393
6,nButane_WAS,nButane,Calibration equation: O_hat = -0.3622 + 1.5803 * M,0.3917161574720348,0.3842926014555043,False,1.8951365357096548,1.2997252260633732,0.29972522606337315,0.8224793902677975,0.17752060973220252,-0.12220461633117063,True,-0.21407351545165,0.08385499773821381,0.8700816026630469,0.7570419952926962,0.8700816026630471,0.7570419952926967
7,iButane_WAS,Isobutane,Calibration equation: O_hat = -0.0738 + 1.2389 * M,0.21873113777786857,0.2368896672122878,True,-8.30175786533879,0.8992933699294735,0.10070663007052649,0.7258635950561929,0.2741364049438071,0.1734297748732806,False,0.009921582557298976,0.06349814649610586,0.7632286677332076,0.5825179992498071,0.7632286677332076,0.5825179992498071
8,t2Butene_WAS,trans2Butene,Calibration equation: O_hat = 0.0025 + 0.9901 * M,0.02052369432861619,0.020276770357980436,False,1.2031165865273379,0.5066102487944093,0.4933897512055907,0.5116712862609752,0.48832871373902476,-0.005061037466565943,True,0.006977188522512078,0.005680830946307835,0.5091586728289653,0.25924255411695335,0.5091586728289649,0.2592425541169529
9,c2Butene_WAS,cis2Butene,Calibration equation: O_hat = -0.0001 + 2.2183 * M,0.016172484803080894,0.014292366049513611,False,11.625416727608343,1.636445365237933,0.6364453652379329,0.7377135821273441,0.26228641787265594,-0.374158947365277,True,0.003300286853498482,0.0033375530878303646,0.8294545774158003,0.6879948959960238,0.8294545774157975,0.6879948959960193
